Level of political bias,Closely follow news,Registered to vote,Special interests,Enough information,Surrounded by voters,Impact on personal life,Voter
08,2,2,2,2,1,07,2
07,3,1,2,2,1,06,1
08,3,1,9,9,9,99,1
08,2,1,3,2,1,07,2
02,2,1,2,1,1,06,1
07,4,2,1,2,2,07,2
05,3,1,3,1,1,03,1
06,3,1,1,1,1,10,1
09,3,2,1,9,2,00,2
10,2,1,1,1,1,08,1
07,3,2,9,9,9,07,1
06,3,1,3,1,2,05,1
08,2,1,2,1,1,08,1
07,3,1,2,2,1,09,1
08,2,1,1,1,1,07,1
05,2,2,1,1,9,07,1
01,4,2,1,2,2,08,1
02,2,1,1,1,1,08,1
10,2,1,2,1,9,09,1
03,2,1,1,1,1,06,1
11,4,2,9,2,1,08,2
03,1,1,1,1,1,10,1
08,2,1,2,1,9,05,1
06,1,1,9,2,1,10,1
10,1,1,1,1,1,10,1
06,2,1,3,1,1,04,1
05,2,1,3,1,1,03,1
09,3,1,1,1,1,07,1
07,1,1,2,1,1,08,1
05,2,2,3,1,2,09,1
06,3,1,9,1,1,06,1
06,3,1,3,2,1,08,1
10,3,1,2,1,2,05,1
03,4,1,9,1,2,07,1
09,3,1,1,2,1,08,1
10,2,1,1,1,1,10,1
07,4,2,9,9,2,00,2
06,3,1,2,1,1,01,1
08,2,1,1,1,1,07,1
10,3,2,1,9,2,08,1
09,3,1,1,1,9,08,1
05,2,1,1,1,1,10,1
05,1,1,1,1,1,08,1
10,4,1,1,1,1,10,1
08,2,1,2,1,1,08,1
11,3,1,1,1,1,05,1
08,3,2,9,1,2,08,2
07,2,1,2,1,1,08,1
10,3,2,1,2,2,10,2
05,3,2,3,2,2,05,2
10,1,1,1,1,1,10,1
02,2,1,2,9,2,08,1
07,2,1,2,1,1,05,1
08,3,1,1,2,2,10,1
05,2,2,1,1,1,07,1
11,2,1,9,1,1,07,1
10,3,2,1,2,2,10,2
10,2,1,1,1,1,09,1
07,2,1,1,1,2,10,1
11,4,1,1,1,1,03,1
05,2,2,9,1,1,08,1
07,2,1,2,1,9,09,1
05,3,1,2,1,1,07,1
08,3,2,1,1,1,10,1
10,2,2,1,2,1,07,2
06,3,1,2,1,1,99,1
10,2,2,2,2,1,05,2
08,2,2,2,2,1,08,1
10,2,1,1,1,1,08,1
05,3,2,4,2,2,02,2
10,2,1,2,1,2,09,2
06,4,1,1,1,9,10,1
08,1,1,1,1,1,04,1
06,4,2,3,9,2,09,2
09,2,1,2,1,1,07,1
07,2,1,1,1,1,08,1
07,3,1,2,2,2,07,2
08,2,1,2,1,9,08,1
06,3,1,3,1,2,07,1
10,3,1,3,1,2,04,1
08,2,1,3,2,1,10,1
06,2,2,1,1,2,07,2
08,3,1,2,2,2,08,1
08,2,1,2,1,1,07,1
10,1,1,1,1,1,07,1
07,2,1,2,1,1,04,1
11,3,2,1,2,9,00,2
10,3,2,3,1,1,04,1
10,1,2,4,1,1,08,1
07,2,1,2,2,1,05,1
06,2,1,1,2,1,09,1
08,2,1,1,2,2,09,1
08,2,1,3,1,1,06,1
08,3,1,9,1,1,07,1
05,2,1,2,2,1,08,1
05,3,1,2,2,1,07,1
10,1,1,1,1,2,08,1
10,4,1,1,1,1,06,1
10,2,2,4,2,1,10,1
08,3,2,2,2,2,07,2
10,3,1,1,2,1,10,1
08,3,1,2,1,1,08,1
09,2,1,2,2,1,09,1
10,2,1,1,1,1,10,1
10,2,2,2,2,2,06,2
06,3,1,2,2,1,05,1
10,2,2,2,1,1,05,1
11,4,1,9,2,9,99,1
09,1,2,1,1,1,10,1
10,1,2,1,2,1,10,1
05,4,1,1,1,2,05,1
05,3,2,9,2,9,05,2
10,2,1,3,1,1,10,1
10,2,1,1,1,1,08,1
11,9,1,9,9,9,99,1
08,1,1,3,1,1,08,1
11,4,2,2,2,1,07,1
09,3,1,1,9,2,07,1
05,2,1,2,1,1,07,1
10,2,2,1,2,1,07,2
10,3,1,1,1,1,08,1
05,1,1,1,1,1,10,1
10,1,1,2,1,1,04,1
08,2,1,1,1,1,08,1
06,9,2,9,2,2,05,1
09,2,1,1,1,1,10,1
03,3,1,4,1,1,10,1
08,4,1,1,1,1,10,1
10,1,1,1,1,1,10,1
10,1,1,2,1,2,10,1
09,3,1,9,2,1,10,1
10,3,1,9,2,9,07,1
11,4,1,9,9,1,09,2
08,3,1,2,2,2,06,1
10,3,1,1,1,1,07,1
08,4,1,3,1,1,07,1
10,1,1,4,1,1,10,1
10,2,1,9,1,1,10,1
08,3,2,1,2,1,99,2
10,1,1,1,1,1,10,1
08,3,1,3,2,1,05,1
10,3,1,2,1,1,10,1
05,1,2,2,2,1,10,2
09,1,1,2,1,1,08,1
08,2,1,2,2,1,07,1
07,3,2,1,2,9,07,2
09,1,1,2,2,1,09,1
10,1,1,1,1,1,09,1
07,2,1,4,9,2,08,1
08,2,1,1,1,2,07,1
05,3,2,3,2,2,04,2
